iter	Passed	Remaining
1554	60708	56414
1555	60756	56382
1556	60794	56342
1557	60832	56303
1558	60872	56264
1559	60917	56231
1560	60953	56189
1561	60988	56146
1562	61022	56103
1563	61067	56069
1564	61106	56030
1565	61141	55987
1566	61181	55949
1567	61221	55911
1568	61268	55879
1569	61303	55836
1570	61340	55796
1571	61376	55753
1572	61421	55720
1573	61457	55679
1574	61493	55637
1575	61530	55596
1576	61571	55558
1577	61605	55514
1578	61643	55475
1579	61676	55431
1580	61714	55390
1581	61773	55369
1582	61812	55330
1583	61849	55289
1584	61889	55251
1585	61926	55210
1586	61963	55170
1587	61998	55127
1588	62033	55084
1589	62077	55049
1590	62112	55007
1591	62145	54963
1592	62181	54921
1593	62215	54878
1594	62252	54836
1595	62298	54804
1596	62334	54762
1597	62373	54722
1598	62407	54680
1599	62446	54640
1600	62490	54605
1601	62525	54563
1602	62560	54521
1603	62600	54482
1604	62645	54448
1605	62680	54406
1606	62716	54364
1607	62761	54330
1608	62806	54296
1609	62840	54253
1610	62876	54211
1611	62912	54170
1612	62955	54134
1613	62992	54093
1614	63027	54051
1615	63062	54008
1616	63098	53967
1617	63137	53928
1618	63179	53891
1619	63216	53851
1620	63260	53816
1621	63297	53775
1622	63343	53742
1623	63381	53702
1624	63417	53660
1625	63455	53620
1626	63499	53586
1627	63536	53545
1628	63571	53503
1629	63606	53460
1630	63650	53425
1631	63682	53380
1632	63717	53338
1633	63760	53302
1634	63872	53325
1635	63923	53295
1636	63961	53255
1637	64010	53224
1638	64047	53183
1639	64085	53144
1640	64119	53101
1641	64165	53067
1642	64198	53023
1643	64232	52980
1644	64252	52925
1645	64288	52883
1646	64334	52850
1647	64371	52809
1648	64406	52767
1649	64440	52724
1650	64476	52682
1651	64515	52643
1652	64557	52606
1653	64596	52567
1654	64630	52524
1655	64665	52481
1656	64710	52447
1657	64748	52407
1658	64786	52368
